2370;Worker;0;block;15
2391;Worker;1;ore;453
2440;Worker;1;ore;502
2468;Worker;1;ore;530
2476;Worker;3;ore;17
2486;Worker;3;ore;27
2500;Worker;1;ore;562
2507;Worker;1;ore;569
2516;Worker;1;ore;578
2527;Worker;3;ore;68
2528;Worker;3;block;68
2528;Worker;1;ore;589
2561;Worker;1;ore;623
2594;Worker;1;ore;656
2613;Worker;1;ore;675
2654;Worker;0;ore;3
2655;Worker;0;block;4
2662;Worker;1;ore;724
2667;Worker;1;ore;729
2679;Worker;2;ore;39
2680;Worker;2;block;40
2699;Worker;3;ore;17
2707;Worker;0;ore;14
2707;Worker;0;block;14
2712;Worker;1;ore;774
2729;Worker;1;ore;791
2732;Worker;3;ore;50
2746;Worker;0;ore;26
2750;Worker;2;ore;47
2751;Worker;2;block;48
2758;Worker;0;ore;38
2761;Worker;3;ore;79
2772;Worker;1;ore;834
2792;Worker;1;ore;854
2799;Worker;3;ore;117
2801;Worker;3;ore;119
2802;Worker;2;ore;38
2803;Worker;2;block;40
2805;Worker;0;ore;85
2834;Worker;1;ore;896
2835;Worker;1;block;897
2840;Worker;3;ore;158
2848;Worker;2;ore;34
2851;Worker;2;ore;37
2852;Worker;2;block;38
2855;Worker;0;ore;135
2880;Worker;3;ore;198
2899;Worker;3;ore;217
2902;Worker;0;ore;182
2932;Worker;0;ore;212
2947;Worker;3;ore;265
2954;Worker;3;ore;272
2982;Worker;0;ore;262
2985;Worker;3;ore;303
2994;Worker;0;ore;274
2997;Worker;0;ore;277
3020;Worker;3;ore;338
3028;Worker;0;ore;308
3029;Worker;0;block;309
3057;Worker;3;ore;375
3067;Worker;3;ore;385
3076;Worker;3;ore;394
3080;Worker;3;ore;398
3093;Worker;3;ore;411
3093;Worker;3;block;411
3246;Worker;2;ore;43
3246;Worker;2;block;43
3326;Worker;1;ore;33
3329;Worker;1;ore;36
3354;Worker;1;ore;61
3354;Worker;1;ore;61
3372;Worker;1;ore;79
3401;Worker;1;ore;108
3431;Worker;1;ore;138
3448;Worker;1;ore;155
3494;Worker;1;ore;201
3515;Worker;3;ore;35
3516;Worker;3;block;36
3532;Worker;1;ore;239
3561;Worker;2;ore;7
3572;Worker;1;ore;279
3592;Worker;1;ore;299
3594;Worker;2;ore;39
3608;Worker;2;ore;54
3609;Worker;2;block;55
3624;Worker;1;ore;331
3625;Worker;1;ore;332
3629;Worker;0;ore;33
3630;Worker;0;block;34
3638;Worker;3;ore;31
3639;Worker;3;block;32
3649;Worker;1;ore;356
3686;Worker;1;ore;393
3692;Worker;3;ore;38
3693;Worker;3;block;39
3693;Worker;1;ore;400
3694;Worker;0;ore;51
3703;Worker;1;ore;410
3711;Worker;2;ore;46
3711;Worker;2;block;46
3723;Worker;1;ore;430
3736;Worker;2;ore;13
3737;Worker;2;block;14
3745;Worker;0;ore;102
3751;Worker;3;ore;47
3756;Worker;3;ore;52
3760;Worker;1;ore;467
3780;Worker;3;ore;76
3783;Worker;2;ore;35
3784;Worker;0;ore;141
3792;Worker;0;ore;149
3796;Worker;1;ore;503
3810;Worker;2;ore;62
3811;Worker;2;block;63
3813;Worker;1;ore;520
3814;Worker;3;ore;110
3828;Worker;0;ore;185
3832;Worker;2;ore;0
3833;Worker;2;block;1
3833;Worker;1;ore;540
3838;Worker;3;ore;134
3842;Worker;3;ore;138
3853;Worker;1;ore;560
3871;Worker;0;ore;228
3875;Worker;3;ore;171
3886;Worker;2;ore;42
3888;Worker;1;ore;595
3904;Worker;1;ore;611
3906;Worker;3;ore;202
3916;Worker;1;ore;623
3918;Worker;3;ore;214
3923;Worker;0;ore;280
3926;Worker;0;ore;283
3931;Worker;0;ore;288
3932;Worker;0;ore;289
3934;Worker;2;ore;90
3944;Worker;0;ore;301
3948;Worker;1;ore;655
3958;Worker;0;ore;315
3961;Worker;1;ore;668
3962;Worker;3;ore;258
3962;Worker;3;block;258
3963;Worker;1;ore;669
3973;Worker;2;ore;129
3976;Worker;2;ore;132
3984;Worker;1;ore;691
3987;Worker;2;ore;143
3992;Worker;0;ore;349
3995;Worker;1;ore;702
4036;Worker;2;ore;192
4037;Worker;0;ore;394
4038;Worker;1;ore;745
4068;Worker;0;ore;425
4073;Worker;1;ore;780
4073;Worker;1;block;780
4075;Worker;0;ore;432
4079;Worker;2;ore;235
4092;Worker;2;ore;248
4094;Worker;0;ore;449
4094;Worker;0;block;451
4098;Worker;3;ore;31
4099;Worker;2;ore;254
4099;Worker;3;block;32
4126;Worker;2;ore;282
4174;Worker;2;ore;330
4191;Worker;2;ore;347
4210;Worker;2;ore;366
4243;Worker;2;ore;399
4262;Worker;2;ore;418
4285;Worker;2;ore;441
4304;Worker;2;ore;460
4348;Worker;2;ore;504
4395;Worker;2;ore;551
4424;Worker;2;ore;580
4457;Worker;2;ore;613
4457;Worker;2;ore;613
4473;Worker;1;ore;11
4475;Worker;2;ore;631
4483;Worker;1;ore;21
4491;Worker;1;ore;29
4492;Worker;1;block;30
4498;Worker;2;ore;654
4516;Worker;2;ore;672
4521;Worker;2;ore;677
4551;Worker;2;ore;707
4583;Worker;2;ore;739
4618;Worker;2;ore;774
4681;Worker;2;ore;837
4706;Worker;2;ore;862
4740;Worker;3;ore;32
4741;Worker;3;block;33
4742;Worker;0;ore;45
4743;Worker;0;block;46
4750;Worker;2;ore;906
4777;Worker;1;ore;38
4785;Worker;1;ore;46
4787;Worker;3;ore;35
4788;Worker;3;block;36
4792;Worker;2;ore;948
4793;Worker;1;ore;54
4802;Worker;0;ore;40
4803;Worker;0;block;41
4805;Worker;3;ore;6
4806;Worker;1;ore;67
4814;Worker;1;ore;75
4816;Worker;2;ore;972
4817;Worker;2;block;973
4838;Worker;3;ore;39
4838;Worker;0;ore;25
4838;Worker;0;block;25
4844;Worker;3;ore;45
4847;Worker;1;ore;108
4857;Worker;1;ore;118
4865;Worker;1;ore;126
4873;Worker;3;ore;74
4910;Worker;1;ore;171
4925;Worker;3;ore;126
4944;Worker;3;ore;145
4956;Worker;1;ore;217
4964;Worker;3;ore;165
4970;Worker;1;ore;231
4983;Worker;3;ore;184
5004;Worker;0;ore;50
5007;Worker;0;ore;53
5007;Worker;0;block;53
5010;Worker;1;ore;271
5013;Worker;3;ore;214
5054;Worker;1;ore;315
5057;Worker;3;ore;258
5057;Worker;3;block;258
5090;Worker;1;ore;351
5106;Worker;1;ore;367
5123;Worker;1;ore;384
5139;Worker;1;ore;400
5139;Worker;1;block;400
5262;Worker;0;ore;44
5262;Worker;0;block;44
5280;Worker;2;ore;2
5318;Worker;2;ore;40
5347;Worker;2;ore;69
5384;Worker;2;ore;106
5435;Worker;2;ore;157
5462;Worker;2;ore;184
5482;Worker;2;ore;204
5497;Worker;2;ore;219
5512;Worker;3;ore;32
5514;Worker;3;block;34
5524;Worker;2;ore;246
5535;Worker;2;ore;257
5585;Worker;2;ore;307
5602;Worker;3;ore;8
5604;Worker;3;block;10
5610;Worker;1;ore;36
5613;Worker;0;ore;29
5614;Worker;0;block;30
5624;Worker;2;ore;346
5633;Worker;3;ore;19
5646;Worker;1;ore;72
5649;Worker;1;ore;75
5650;Worker;3;ore;36
5650;Worker;1;block;76
5658;Worker;0;ore;33
5660;Worker;0;block;35
5664;Worker;2;ore;386
5672;Worker;3;ore;58
5697;Worker;3;ore;83
5699;Worker;1;ore;16
5700;Worker;1;block;17
5705;Worker;2;ore;427
